,volume,CloudPrcYear
450,467.13,0.0119
451,155854.09,none
452,562.74,0.0
453,156416.83,none
454,573.75,0.48240000000000005
455,156990.58,none
456,550.54,0.0
457,157541.12,none
458,573.08,5.9464
459,158114.19999999998,none
460,505.62,0.0
461,158619.81999999998,none
462,606.04,0.0367
463,159225.86,none
464,670.23,0.0
465,159896.09,none
466,485.19,0.0
467,160381.28,none
468,575.45,0.0
469,160956.73,none
470,587.55,0.0
471,161544.28,none
472,467.64,1.0265
473,162011.92,none
474,457.67,0.11
475,162469.59000000003,none
476,548.72,0.0208
477,163018.31000000003,none
478,497.9,1.0116
479,163516.21000000002,none
480,775.95,18.1491
481,164292.16000000003,none
482,777.88,24.146
483,165070.04000000004,none
484,732.7,31.8018
485,165802.74000000005,none
486,736.1,14.0543
487,166538.84000000005,none
488,756.5,7.3467
489,167295.34000000005,none
490,654.32,1.1
491,167949.66000000006,none
492,778.98,2.1098
493,168728.64000000007,none
494,737.38,4.8837
495,169466.02000000008,none
496,702.94,1.577
497,170168.96000000008,none
498,698.47,4.4437
499,170867.43000000008,none
500,751.99,22.0663
501,171619.42000000007,none
502,754.3,31.4589
503,172373.72000000006,none
504,778.62,20.1987
505,173152.34000000005,none
506,745.47,35.4079
507,173897.81000000006,none
508,737.54,7.8206999999999995
509,174635.35000000006,none
510,700.89,44.6585
511,175336.24000000008,none
512,780.45,0.7588
513,176116.6900000001,none
514,773.26,4.9066
515,176889.9500000001,none
516,736.63,5.836
517,177626.5800000001,none
518,702.93,3.3392
519,178329.5100000001,none
520,696.92,10.3711
521,179026.4300000001,none
522,714.13,2.65
523,179740.5600000001,none
524,717.89,18.6427
525,180458.45000000013,none
526,783.57,4.6703
527,181242.02000000014,none
528,852.34,20.952
529,182094.36000000013,none
530,867.95,32.9247
531,182962.31000000014,none
532,850.33,10.2746
533,183812.64000000013,none
534,851.04,14.0247
535,184663.68000000014,none
536,826.1,1.5768
537,185489.78000000014,none
538,826.48,0.3957
539,186316.26000000015,none
540,816.94,0.2798
541,187133.20000000016,none
542,823.87,0.05750000000000001
543,187957.07000000015,none
544,821.73,2.0023
545,188778.80000000016,none
546,837.88,0.44200000000000006
547,189616.68000000017,none
548,853.09,8.9271
549,190469.77000000016,none
550,873.7,10.1827
551,191343.47000000018,none
552,874.6,16.1366
